name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,energy_produced

Wieliczka,2015-03-04,5.3,-2.8,0.6,1,-4.8,-1.9,-2.6,80.4,3.074,100,4.17,rain,0,0,49.3,27.7,269.3,1021.9,52.1,13.6,95.5,8.4,4,,9.042

Wieliczka,2015-03-05,5,-3,0.8,2.3,-4.1,-1.5,-1.8,83.5,0.269,100,4.17,"""rain","snow""",0,0,32.4,21.7,288.6,1029.4,75.3,10,118.3,10.2,4,10.487

Wieliczka,2015-03-06,3.7,-3.1,0.3,1.8,-4.3,-0.7,-2.6,82.2,0.398,100,8.33,"""rain","snow""",0,0,32.4,10.4,267.1,1035.1,68.5,10.1,159.2,13.8,6,8.465

Wieliczka,2015-03-07,8.6,-3.6,1.4,8,-3.7,0.6,-2,79.8,0,0,0,,0,0,7.2,13,257.3,1035.8,52.5,8.8,170.3,14.8,6,,14.973

Wieliczka,2015-03-08,12.9,-2.3,4.4,12.9,-4.2,4.2,-2.6,66.1,0,0,0,,0,0,7.2,9.9,267.8,1031.6,26.9,12.7,165.9,14.4,6,,18.418

Wieliczka,2015-03-09,12.9,-2.2,4.6,12.9,-2.2,4.3,-3.7,60.5,0,0,0,,0,0,,18.8,247.6,1028.9,23.2,16,181.3,15.8,6,,17.081

Wieliczka,2015-03-10,13.5,-3.1,4.1,13.5,-3.1,4.1,-2.8,65.6,0,0,0,,0,0,,11.3,260.3,1026.2,24.5,12.7,170.4,14.8,6,,20.728

Wieliczka,2015-03-11,4.8,-1.6,2.3,3,-3.9,0.1,0.5,88,0.666,100,4.17,rain,0,0,32.4,13.3,291.4,1022.6,66.9,6.5,99.6,8.5,4,,1.319

Wieliczka,2015-03-12,6.1,2.6,4.1,2.7,-0.7,1,-0.1,74.9,2.128,100,16.67,rain,0,0,40.9,21.3,329.2,1024.5,88.4,13.5,64.9,5.6,3,,2.87

Wieliczka,2015-03-13,3,1.1,2.3,2,-1.8,-0.3,1.3,93,2.943,100,12.5,rain,0,0,35.7,14,14.8,1023.1,94.2,8.4,62.8,5.4,2,,0.536

Wieliczka,2015-03-14,3.8,1.1,2.4,1.6,-1.1,0.3,1.4,93.3,4.975,100,12.5,"""rain","snow""",0,0,54,15.7,58.4,1024.7,94.1,7.5,55.1,4.7,2,2.35

Wieliczka,2015-03-15,10.5,1,4.8,10.5,-2.3,2,2.5,85.9,0.501,100,4.17,rain,0,0,28.8,25.2,65.3,1033.6,66.3,8.6,179.8,15.4,6,,15.963

Wieliczka,2015-03-16,12,3.3,6.4,12,-0.9,3.7,2.5,77.6,0,0,0,,0,0,40.8,30.9,58.5,1036.6,41.9,12.2,181.4,15.7,7,,21.626

Wieliczka,2015-03-17,12.7,-0.2,5.6,12.7,-4.1,3.1,-1,65.2,0,0,0,,0,0,44.7,31,64.2,1035.9,1,15.8,200.7,17.3,7,,22.852

Wieliczka,2015-03-18,8.6,-0.8,3.6,5.4,-6.4,-0.3,-4.9,55.3,0,0,0,,0,0,36,25.9,62.4,1031.2,6.6,20.3,206.4,18.1,7,,23.573

Wieliczka,2015-03-19,7.8,-3.3,2.6,4.6,-8,-0.8,-3,67.9,0,0,0,,0,0,38,23,64.3,1028.7,25.9,14.2,191.8,16.7,7,,19.165

Wieliczka,2015-03-20,10.5,-3.2,3.1,10.5,-5.8,1.7,-2.6,69.6,0,0,0,,0,0,14.4,11.6,4.1,1025.3,9.6,10.8,209.2,18.3,7,,19.332

Wieliczka,2015-03-21,13.9,-2.2,5.4,13.9,-2.2,5.3,-2.5,62.1,0,0,0,,0,0,28.8,21.2,255.4,1015.7,46.5,10.3,206,17.8,7,,21.59

Wieliczka,2015-03-22,5.1,-3.2,1.5,5.1,-5.6,-0.7,-1.8,78.9,0.407,100,4.17,"""rain","snow""",0,0,28.8,16.7,11.8,1022.8,77.5,15.1,104.2,8.9,4,1.125

Wieliczka,2015-03-23,9.1,-4.9,1.6,7.7,-9.7,-1.2,-5.6,63.4,0,0,0,,0,0,7.2,15.9,61.8,1021.1,38.7,17.1,215.9,18.4,7,,24.313

Wieliczka,2015-03-24,16.5,-2.9,7.4,16.5,-4.8,7.2,-1.6,57.6,0,0,0,,0,0,46.8,17.9,215.4,1013.3,14.8,10.9,212.3,18.4,7,,22.544

Wieliczka,2015-03-25,17.7,2.2,10.6,17.7,0.4,10.1,3,62.7,0,0,0,,0,0,38.2,17,58.4,1011.5,47.2,14,178.7,15.5,7,,17.934

Wieliczka,2015-03-26,17.4,8,12.5,17.4,6.6,12.1,5.7,65.1,0.147,100,8.33,rain,0,0,43.7,16.3,147.8,1008.7,66.4,19.4,179.8,15.5,7,,7.718

Wieliczka,2015-03-27,13.4,5.7,8,13.4,3.6,6.8,5.9,86.9,1.352,100,12.5,rain,0,0,41.8,22.2,274.8,1011.2,84.7,9.4,61.8,5.3,3,,3.451

