time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi

2023-04-17 12:00:00,13.61,12.78,1020,67,7.61,5.55,58,9.35,88,1,2.8,3.96

2023-04-18 12:00:00,14.02,12.6,1020,43,1.42,6.79,66,10.75,80,1,0.23,3.94

2023-04-19 12:00:00,5.27,2.27,1018,93,4.07,5.04,3,9.19,100,1,8.87,1.28

2023-04-20 12:00:00,12.78,11.78,1019,64,5.89,4.56,99,7.53,96,0.4,0.14,3.24

2023-04-21 12:00:00,15.77,14.39,1018,38,1.48,5.05,76,7.38,46,0,0.0,4.53

2023-04-22 12:00:00,17.04,15.71,1016,35,1.59,3.69,121,8.68,18,0,0.0,4.77

2023-04-23 12:00:00,19.17,18.06,1012,35,3.39,4.76,248,7.17,5,0,0.0,4.73

2023-04-24 12:00:00,18.18,17.18,1005,43,5.05,4.88,291,9.34,84,1,2.83,3.35

2023-04-25 12:00:00,11.06,9.74,1008,58,2.95,5.27,308,10.87,100,1,0.46,2.79

2023-04-26 12:00:00,8.28,5.23,1016,45,-2.95,5.53,304,8.62,70,0.25,0.0,3.47

2023-04-27 12:00:00,10.14,8.33,1021,43,-1.96,3.73,324,4.23,85,0,0.0,4.7

2023-04-28 12:00:00,13.3,11.81,1021,43,0.87,4.32,221,5.97,93,0,0.0,4.69

2023-04-29 12:00:00,10.44,9.73,1017,84,7.82,2.78,140,5.86,100,0.99,5.29,1.71

2023-04-30 12:00:00,13.87,12.93,1018,62,6.57,3.84,327,7.36,59,0,0.0,2

2023-05-01 12:00:00,15.6,14.7,1014,57,6.98,4.14,105,8.81,100,0.44,0.73,2

2023-05-02 12:00:00,14.1,13.37,1012,69,8.48,5.71,316,9.97,100,0.44,0.11,2









