time,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,pop

2023-04-17 15:00:00,12.44,11.83,1022,80,9.09,0.93,100,10000,4.63,76,6.27,0.81

2023-04-17 16:00:00,12.26,11.6,1021,79,8.73,0.61,100,10000,3.72,78,7.32,0.78

2023-04-17 17:00:00,12.04,11.28,1021,76,7.94,0.32,100,10000,4.8,64,8.5,0.68

2023-04-17 18:00:00,11.53,10.7,1020,75,7.26,0.05,99,10000,5.55,58,9.02,0.67

2023-04-17 19:00:00,10.36,9.57,1020,81,7.25,0.01,98,10000,4.97,49,8.71,0.67

2023-04-17 20:00:00,9.28,6.85,1020,87,6.98,0,97,10000,4.6,42,9.16,0.8

2023-04-17 21:00:00,9.15,6.76,1020,90,7.35,0,100,10000,4.43,39,9.35,0.7

2023-04-17 22:00:00,9.2,6.86,1020,91,7.71,0,100,10000,4.34,42,9.06,0.9

2023-04-17 23:00:00,9.3,6.92,1020,92,7.87,0,100,10000,4.49,51,9.22,1

2023-04-18 00:00:00,9.28,6.73,1020,91,7.81,0,100,10000,4.9,56,9.46,1

2023-04-18 01:00:00,9.33,6.9,1020,88,7.23,0,100,10000,4.64,59,9.89,0.8

2023-04-18 02:00:00,9.08,6.6,1020,86,6.75,0,100,10000,4.6,58,10.07,0.77

2023-04-18 03:00:00,8.52,5.8,1020,90,6.85,0,99,10000,4.85,55,10.52,0.07

2023-04-18 04:00:00,8.18,5.33,1020,92,6.83,0,99,10000,4.96,55,10.75,0.01

2023-04-18 05:00:00,8.39,5.41,1020,88,6.47,0,99,10000,5.43,58,10.27,0

2023-04-18 06:00:00,8.29,5.83,1020,89,6.42,0,100,10000,4.15,50,9.29,0

2023-04-18 07:00:00,8.24,5.5,1021,88,6.33,0.14,100,10000,4.73,55,10.45,0

2023-04-18 08:00:00,9,6.32,1021,81,5.84,0.42,99,10000,5.05,60,10.21,0

2023-04-18 09:00:00,9.99,7.46,1021,71,4.8,1.1,100,10000,5.31,63,9.25,0

2023-04-18 10:00:00,11.34,10.07,1021,59,3.58,1.88,98,10000,5.74,65,9.33,0

2023-04-18 11:00:00,12.44,11.05,1021,50,2.32,2.63,97,10000,6.28,65,9.9,0

2023-04-18 12:00:00,14.02,12.6,1020,43,1.42,3.79,80,10000,6.75,66,10.05,0

2023-04-18 13:00:00,14.84,13.42,1020,40,1.11,3.94,74,10000,6.79,66,9.48,0

2023-04-18 14:00:00,15.03,13.63,1020,40,1.3,3.55,73,10000,6.71,64,9,0

2023-04-18 15:00:00,15.71,14.67,1023,51,5.61,2.22,100,10000,2.24,32,6.71,0

2023-04-18 16:00:00,15.93,14.91,1023,51,5.81,1.27,100,10000,5.56,55,7.28,0

2023-04-18 17:00:00,15.6,14.6,1023,53,6.07,0.67,100,10000,5.66,49,7.38,0

2023-04-18 18:00:00,14.87,13.9,1022,57,6.44,0.31,100,10000,5.35,44,7.65,0

2023-04-18 19:00:00,13.76,12.84,1022,63,6.85,0.07,100,10000,5.1,36,8.73,0.01

2023-04-18 20:00:00,12.55,11.71,1021,71,7.44,0,100,10000,5.09,33,9.53,0.01

2023-04-18 21:00:00,10.98,10.22,1021,80,7.46,0,100,10000,4.95,29,9.93,0.39

2023-04-18 22:00:00,10.46,9.73,1021,83,7.59,0,100,10000,4.38,22,9.48,0.46

