time,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi

2023-05-04 12:00:00,12.93,11.98,1021,65,6.52,2.89,70,3.66,14,0.14,0.0,4.41

2023-05-05 12:00:00,15.17,14.15,1022,54,5.97,5.03,72,11.48,97,0,0.0,5.67

2023-05-06 12:00:00,14.34,13.5,1021,64,7.66,7.55,90,12.35,100,0.99,3.94,3.71

2023-05-07 12:00:00,8.45,5.91,1023,88,6.53,5.43,78,10.42,100,0.87,0.38,5.26

2023-05-08 12:00:00,14.13,13.56,1022,75,9.7,6.33,86,11.46,100,0.19,0.0,5.31

2023-05-09 12:00:00,11.11,10.44,1019,83,8.26,3.47,81,6.28,100,0.35,0.65,6

2023-05-10 12:00:00,13.96,13.27,1016,71,8.67,2.6,257,3.38,100,0.47,1.02,6

2023-05-11 12:00:00,15.75,14.82,1015,55,6.7,5.5,108,6.64,100,0,0.0,6

