time,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,pop
2023-05-06 11:00:00,13.5,12.86,1016,75,9.16,3.62,100,10000,5.56,86,6.74,0.09
2023-05-06 12:00:00,13.63,13.03,1016,76,9.48,2.71,100,10000,5.85,88,7.81,0.09
2023-05-06 13:00:00,13.92,13.33,1016,75,9.57,2.77,100,10000,6.17,92,8.41,0.42
2023-05-06 14:00:00,13.59,13.15,1016,82,10.58,2.49,100,9047,3.22,79,4.81,0.85
2023-05-06 15:00:00,13.09,12.75,1016,88,11.15,0.43,100,10000,1.99,90,3.97,1
2023-05-06 16:00:00,12.79,12.53,1016,92,11.52,0.29,100,10000,1.04,115,1.8,1
2023-05-06 17:00:00,13.72,13.5,1016,90,12.18,0.16,100,10000,1.12,248,2.57,0.8
2023-05-06 18:00:00,14.23,14.03,1015,89,12.34,0.26,100,10000,2.36,264,4.91,1
2023-05-06 19:00:00,13.77,13.6,1015,92,12.37,0.08,99,10000,2.16,253,4.19,0.8
2023-05-06 20:00:00,11.87,11.57,1015,94,10.9,0,94,10000,1.94,252,2.03,1
2023-05-06 21:00:00,11.11,10.73,1016,94,10.15,0,73,10000,2.01,269,2.22,0.16
2023-05-06 22:00:00,10.33,9.9,1016,95,9.46,0,72,10000,1.95,269,2.03,0.03
2023-05-06 23:00:00,9.97,9.29,1016,95,9.19,0,80,10000,1.84,259,1.86,0
2023-05-07 00:00:00,9.89,9.19,1017,95,9.1,0,85,10000,1.85,268,2.05,0
2023-05-07 01:00:00,10.75,10.36,1017,95,9.98,0,88,10000,1.71,278,3.7,0
2023-05-07 02:00:00,10.63,10.26,1017,96,9.99,0,90,10000,2.11,282,5.07,0
2023-05-07 03:00:00,10.19,9.8,1017,97,9.64,0,100,10000,2.7,285,5.81,0
2023-05-07 04:00:00,9.2,7.95,1018,97,8.62,0,100,10000,2.39,274,5.39,0
2023-05-07 05:00:00,9.23,7.61,1018,97,8.64,0,100,10000,2.97,273,6.79,0
2023-05-07 06:00:00,9.27,7.54,1018,96,8.66,0.09,100,10000,3.17,273,7.01,0
2023-05-07 07:00:00,9.69,7.99,1019,95,8.8,0.33,100,10000,3.27,281,6.5,0
2023-05-07 08:00:00,10.07,9.53,1019,92,8.63,0.83,100,10000,3.52,303,5.62,0
2023-05-07 09:00:00,8.31,5.72,1019,95,7.42,0.76,100,10000,4.43,3,5.43,0.41
2023-05-07 10:00:00,6.53,3.66,1020,96,5.96,1.2,100,7526,4.15,22,6.19,0.57
2023-05-07 11:00:00,6.31,3.7,1021,94,5.37,1.6,100,10000,3.6,14,4.87,0.38
2023-05-07 12:00:00,6.08,3.35,1022,93,5.06,0.76,100,10000,3.71,13,4.55,0.34
2023-05-07 13:00:00,6.06,3.54,1023,93,4.91,0.77,100,10000,3.36,17,4.09,0.23
2023-05-07 14:00:00,5.9,3.18,1023,92,4.67,0.69,100,10000,3.63,19,4.22,0.11
2023-05-07 15:00:00,5.67,2.87,1024,91,4.28,0.84,100,10000,3.67,21,4.24,0
2023-05-07 16:00:00,5.2,2.06,1024,93,4.06,0.57,100,10000,4.08,28,4.85,0
2023-05-07 17:00:00,4.61,1.39,1025,96,3.9,0.32,100,4004,3.99,37,5.67,0
2023-05-07 18:00:00,4.24,1.13,1025,97,3.69,0.19,100,353,3.67,42,6.13,0
2023-05-07 19:00:00,4.1,1.18,1026,97,3.62,0.05,100,328,3.33,46,6.66,0
2023-05-07 20:00:00,4.18,1.28,1026,97,3.59,0,100,7331,3.33,51,6.87,0
2023-05-07 21:00:00,4.15,1.07,1027,96,3.48,0,100,9342,3.59,55,6.79,0.04
2023-05-07 22:00:00,4.09,1,1027,95,3.35,0,100,10000,3.58,57,6.92,0.08
2023-05-07 23:00:00,4.05,0.84,1027,94,3.12,0,100,10000,3.76,59,7.2,0.08
2023-05-08 00:00:00,3.95,0.64,1027,94,2.98,0,100,10000,3.88,62,7.33,0.08
2023-05-08 01:00:00,3.75,0.48,1027,93,2.74,0,100,10000,3.75,61,7.6,0.09
2023-05-08 02:00:00,3.61,0.31,1027,92,2.37,0,100,10000,3.75,63,7.76,0.09
2023-05-08 03:00:00,3.49,0.22,1028,92,2.23,0,100,10000,3.66,62,7.74,0.05
2023-05-08 04:00:00,3.53,0.41,1028,92,2.32,0,100,10000,3.45,62,7.83,0.05
2023-05-08 05:00:00,3.48,0.28,1028,93,2.42,0,100,10000,3.55,63,8.41,0.06
2023-05-08 06:00:00,3.68,0.3,1029,93,2.58,0.03,100,10000,3.9,62,8.94,0.06
2023-05-08 07:00:00,3.99,0.54,1029,91,2.61,0.11,100,10000,4.14,64,8.96,0.05
2023-05-08 08:00:00,4.39,0.8,1030,89,2.74,0.26,100,10000,4.56,68,9.05,0.05
2023-05-08 09:00:00,5.14,1.29,1030,86,2.91,0.61,100,10000,5.48,72,9.16,0
2023-05-08 10:00:00,6.22,2.58,1030,80,2.97,0.95,99,10000,5.65,80,8.47,0
