time,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,pop

2023-05-12 14:00:00,17.87,17.25,1019,59,9.76,4.77,49,10000,6.85,98,8.01,0.25

2023-05-12 15:00:00,17.51,16.88,1019,60,9.67,3.44,59,10000,6.79,98,8.41,0.3

2023-05-12 16:00:00,16.91,16.25,1019,61,9.35,2.34,69,10000,6.13,94,8.51,0.26

2023-05-12 17:00:00,16.11,15.45,1019,64,9.31,1.33,80,10000,5.89,86,8.84,0.26

2023-05-12 18:00:00,15,14.36,1019,69,9.37,0.61,90,10000,5.6,92,8.64,0.18

2023-05-12 19:00:00,13.03,12.37,1020,76,8.75,0.2,100,10000,4.73,99,8.8,0.17

2023-05-12 20:00:00,11.59,10.84,1021,78,7.84,0,100,10000,4.56,91,9.57,0.08

2023-05-12 21:00:00,10.36,9.59,1021,82,7.3,0,99,10000,4.2,85,9.59,0

2023-05-12 22:00:00,9.86,7.79,1022,82,6.92,0,99,10000,4.08,84,9.32,0.01

2023-05-12 23:00:00,9.58,7.71,1022,82,6.53,0,100,10000,3.55,91,7.85,0

2023-05-13 00:00:00,9.46,7.8,1022,82,6.43,0,100,10000,3.1,96,5.17,0

2023-05-13 01:00:00,8.3,6.52,1022,86,6.08,0,100,10000,2.92,94,4.35,0

2023-05-13 02:00:00,7.77,6.24,1022,88,5.78,0,100,10000,2.42,92,3.43,0

2023-05-13 03:00:00,7.79,6.28,1022,86,5.55,0,100,10000,2.4,90,4.04,0

2023-05-13 04:00:00,8.16,6.51,1022,83,5.47,0,100,10000,2.68,104,5.03,0

2023-05-13 05:00:00,8.53,6.7,1022,81,5.32,0,100,10000,3.07,107,5.65,0

2023-05-13 06:00:00,9.18,7.36,1023,80,5.86,0.14,100,10000,3.28,101,7.4,0

2023-05-13 07:00:00,10.15,9.31,1023,80,6.82,0.5,100,10000,3.14,94,7.28,0

2023-05-13 08:00:00,11.44,10.57,1023,74,6.87,1.2,100,10000,3.84,94,6.76,0

2023-05-13 09:00:00,12.55,11.66,1023,69,7.04,2.28,100,10000,4.59,87,6.23,0

2023-05-13 10:00:00,13.45,12.55,1023,65,6.98,3.53,100,10000,4.83,83,5.69,0

2023-05-13 11:00:00,14.2,13.29,1023,62,6.98,4.69,100,10000,4.74,83,5.27,0

2023-05-13 12:00:00,14.45,13.57,1023,62,7.1,4.02,100,10000,4.43,90,4.81,0

2023-05-13 13:00:00,15.55,14.68,1022,58,7.17,4.11,100,10000,4.32,96,5.07,0

2023-05-13 14:00:00,15.86,14.99,1022,57,7.41,3.7,100,10000,4.89,94,5.79,0

2023-05-13 15:00:00,15.99,15.16,1022,58,7.83,3.68,100,10000,5.62,87,6.14,0.2

2023-05-13 16:00:00,15.83,15.06,1022,61,8.28,2.5,97,10000,5.74,89,6.32,0.21

2023-05-13 17:00:00,15.49,14.79,1022,65,8.89,1.42,97,10000,5.4,93,6.4,0.25

2023-05-13 18:00:00,14.97,14.35,1022,70,9.36,0.72,94,10000,4.91,94,6.69,0.4

2023-05-13 19:00:00,13.54,12.93,1022,76,9.23,0.24,94,10000,4.48,86,7.97,0.4

2023-05-13 20:00:00,11.23,10.58,1022,83,8.39,0,87,10000,3.61,83,8.05,0.32

2023-05-13 21:00:00,9.67,7.96,1023,88,7.8,0,28,10000,3.27,89,7.41,0

2023-05-13 22:00:00,8.89,7.33,1023,90,7.32,0,28,10000,2.76,92,4.31,0

2023-05-13 23:00:00,8.36,6.89,1023,91,6.84,0,27,10000,2.49,92,3.92,0

2023-05-14 00:00:00,7.72,6.26,1023,91,6.28,0,26,10000,2.32,101,3.52,0

2023-05-14 01:00:00,7.19,6,1023,90,5.69,0,27,10000,1.92,117,2.68,0

2023-05-14 02:00:00,6.84,5.66,1023,90,5.27,0,36,10000,1.85,99,2.38,0

2023-05-14 03:00:00,6.41,5.21,1023,91,5,0,96,10000,1.8,97,2.49,0

2023-05-14 04:00:00,6.09,4.92,1023,91,4.74,0,98,10000,1.73,92,2.52,0

2023-05-14 05:00:00,5.86,4.63,1022,92,4.58,0,99,10000,1.75,99,2.44,0

2023-05-14 06:00:00,6.73,5.57,1023,90,5.09,0.16,93,10000,1.81,97,2.78,0

2023-05-14 07:00:00,8.71,7.65,1023,83,5.94,0.54,94,10000,2.05,102,3.8,0

2023-05-14 08:00:00,10.72,9.86,1023,77,6.73,1.28,95,10000,2.6,99,4.2,0

2023-05-14 09:00:00,12.74,11.92,1022,71,7.62,2.28,99,10000,3.2,102,4.84,0

2023-05-14 10:00:00,14.55,13.78,1022,66,8.3,3.53,98,10000,3.58,94,4.89,0

2023-05-14 11:00:00,15.85,15.14,1021,63,8.74,4.68,98,10000,4.32,82,5.12,0

2023-05-14 12:00:00,16.61,15.92,1020,61,8.95,4,84,10000,4.83,81,5.27,0

2023-05-14 13:00:00,17.23,16.58,1020,60,9.27,4.08,72,10000,4.82,79,5.19,0

