time,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,pop

2023-05-03 10:00:00,10.76,10.37,1024,95,9.99,0.31,100,10000,3.66,357,7.43,0.81

2023-05-03 11:00:00,11.13,10.78,1024,95,10.36,0.41,100,10000,3.39,356,7.43,0.81

2023-05-03 12:00:00,10.74,10.32,1024,94,9.81,0.71,100,10000,3.18,346,6.77,0.81

2023-05-03 13:00:00,10.35,9.87,1025,93,9.27,0.72,100,10000,2.74,342,6.04,0.78

2023-05-03 14:00:00,10.04,9.5,1025,92,8.8,0.65,100,10000,2.27,335,5.17,0.78

2023-05-03 15:00:00,9.7,9.02,1026,91,8.3,1.11,100,10000,1.79,331,4.56,0.51

2023-05-03 16:00:00,9.36,9.36,1026,89,7.67,0.74,100,10000,1.16,312,3,0.48

2023-05-03 17:00:00,9.35,9.35,1026,89,7.56,0.41,100,10000,0.92,273,1.15,0.44

2023-05-03 18:00:00,9.2,9.2,1026,89,7.47,0.19,100,10000,0.91,240,1.01,0.4

2023-05-03 19:00:00,8.87,8.87,1026,90,7.29,0.05,100,10000,0.77,222,0.8,0.4

2023-05-03 20:00:00,8.61,8.61,1026,91,7.1,0,100,10000,0.74,190,0.81,0.4

2023-05-03 21:00:00,8.47,8.47,1026,91,7,0,100,10000,1,172,1.06,0.24

2023-05-03 22:00:00,8.48,8.48,1026,91,7,0,100,10000,0.98,170,0.95,0.15

2023-05-03 23:00:00,8.42,8.42,1026,91,6.97,0,100,10000,0.58,150,0.64,0.15

2023-05-04 00:00:00,8.37,8.37,1026,91,6.98,0,100,10000,0.43,67,0.44,0.14

2023-05-04 01:00:00,8.27,8.27,1026,92,7.01,0,100,10000,0.77,55,0.78,0.1

2023-05-04 02:00:00,8.19,8.19,1026,93,7.02,0,100,10000,1.27,47,1.3,0.1

2023-05-04 03:00:00,7.97,7.24,1026,94,6.99,0,100,10000,1.58,45,1.94,0

2023-05-04 04:00:00,7.78,6.93,1025,95,6.9,0,100,10000,1.67,43,2.25,0.01

2023-05-04 05:00:00,7.24,6.33,1025,95,6.39,0,92,10000,1.65,52,2.13,0.01

2023-05-04 06:00:00,7.25,6.36,1026,94,6.29,0.11,87,10000,1.63,55,3.26,0.01

2023-05-04 07:00:00,8.03,7.04,1026,91,6.64,0.43,85,10000,1.85,61,3.29,0

2023-05-04 08:00:00,9.07,7.88,1026,89,7.24,1.09,83,10000,2.29,68,3.47,0

2023-05-04 09:00:00,10.24,9.49,1026,83,7.4,2.16,67,10000,2.39,78,3.45,0

2023-05-04 10:00:00,11.12,10.3,1026,77,7.11,3.43,68,10000,2.38,87,2.93,0

2023-05-04 11:00:00,11.94,11.07,1025,72,6.94,4.6,75,10000,2.53,95,2.84,0

2023-05-04 12:00:00,13.23,12.31,1025,65,6.69,5.41,71,10000,2.51,91,2.83,0

2023-05-04 13:00:00,14.08,13.11,1024,60,6.34,5.52,69,10000,2.8,76,2.97,0

2023-05-04 14:00:00,13.76,12.73,1024,59,5.96,4.96,75,10000,3.07,70,3.06,0

2023-05-04 15:00:00,13.58,12.61,1023,62,6.27,3.86,94,10000,2.7,76,2.96,0

2023-05-04 16:00:00,14.12,13.05,1023,56,5.32,2.58,93,10000,2.1,84,2.57,0

2023-05-04 17:00:00,14.53,13.42,1022,53,4.9,1.43,70,10000,1.9,86,2.36,0

2023-05-04 18:00:00,14.15,13.16,1022,59,6.12,0.63,58,10000,2.03,101,2.53,0

2023-05-04 19:00:00,12.38,11.42,1023,67,6.48,0.19,49,10000,1.87,122,2.13,0

2023-05-04 20:00:00,9.74,9.13,1023,71,4.63,0,43,10000,1.72,145,1.69,0

2023-05-04 21:00:00,8.75,7.97,1023,72,4.08,0,9,10000,1.74,164,1.66,0

2023-05-04 22:00:00,8.02,8.02,1023,74,3.68,0,10,10000,1.29,177,1.18,0

2023-05-04 23:00:00,7.42,7.42,1023,76,3.53,0,25,10000,1.23,170,1.16,0

2023-05-05 00:00:00,6.95,6.95,1023,78,3.4,0,44,10000,0.97,167,0.98,0

2023-05-05 01:00:00,6.63,6.63,1023,79,3.21,0,55,10000,0.8,162,0.9,0

2023-05-05 02:00:00,6.44,6.44,1023,80,3.16,0,63,10000,0.87,161,0.94,0

2023-05-05 03:00:00,6.32,6.32,1023,80,3.05,0,100,10000,0.82,165,0.85,0

2023-05-05 04:00:00,6.3,6.3,1023,80,2.96,0,100,10000,0.62,180,0.71,0

2023-05-05 05:00:00,5.7,5.7,1023,82,2.81,0,89,10000,0.74,180,0.8,0

2023-05-05 06:00:00,6.18,6.18,1023,81,3.07,0.11,75,10000,0.93,166,0.89,0

2023-05-05 07:00:00,8.46,8.46,1024,74,4.13,0.43,66,10000,0.83,153,1.05,0

2023-05-05 08:00:00,10.59,9.48,1023,68,4.79,1.1,68,10000,0.78,110,1.03,0

2023-05-05 09:00:00,12.29,11.22,1023,63,5.31,2.23,93,10000,1.4,87,1.49,0

