time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-06-27,15.7,7.7,22.4,0.3,,,5.2,,1018.4,
2014-06-28,18.5,8.4,26.3,0.0,,,8.4,,1016.3,
2014-06-29,21.3,13.7,28.9,0.8,,,8.6,,1008.8,
2014-06-30,14.9,13.3,19.5,14.7,,270.0,11.9,,1009.6,
2014-07-01,15.1,12.5,19.9,23.6,,,12.9,,1016.5,
2014-07-02,13.8,8.5,18.7,0.0,,,5.3,,1021.0,
2014-07-03,17.1,12.6,22.7,4.8,,,8.0,,1022.9,
2014-07-04,19.3,9.0,27.0,0.0,,,5.1,,1020.2,
2014-07-05,20.4,11.9,28.1,0.0,,,6.9,,1012.1,
2014-07-06,22.3,14.6,29.1,0.0,,,5.7,,1013.5,
2014-07-07,23.8,15.5,31.0,0.0,,,5.0,,1014.8,
2014-07-08,21.9,17.0,30.8,1.0,,43.0,9.2,,1009.6,
2014-07-09,18.6,15.9,24.0,24.1,,339.0,12.3,,1004.4,
2014-07-10,18.9,15.5,23.2,21.1,,268.0,10.7,,1006.6,
2014-07-11,18.2,16.9,21.9,4.3,,12.0,14.1,,1006.2,
2014-07-12,15.9,,,3.0,,,,,,
2014-07-13,18.9,11.9,25.0,0.0,,,,,,
2014-07-14,21.2,14.8,27.1,0.0,,,5.1,,1013.0,
2014-07-15,20.7,16.5,26.0,0.0,,,6.8,,1017.6,
2014-07-16,19.9,14.8,28.6,0.0,,,6.0,,1019.9,
2014-07-17,20.1,13.8,27.2,0.0,,,6.0,,1020.1,
2014-07-18,20.7,16.6,27.0,0.0,,,4.5,,1019.6,
2014-07-19,22.7,14.8,29.1,0.0,,,5.2,,1017.9,
2014-07-20,23.7,15.4,30.6,0.0,,,8.3,,1013.8,
2014-07-21,22.9,17.7,29.1,0.0,,,15.3,,1009.6,
2014-07-22,22.8,18.4,27.5,0.0,,47.0,19.4,,1011.2,
2014-07-23,19.2,16.3,24.3,2.0,,33.0,14.1,,1012.9,
2014-07-24,17.7,15.8,19.5,7.6,,,10.4,,1011.2,
2014-07-25,20.4,17.6,26.1,3.6,,63.0,9.0,,1013.7,
2014-07-26,21.0,14.6,27.6,1.5,,,6.2,,1014.6,
2014-07-27,23.2,16.1,30.1,0.0,,,10.2,,1013.7,
2014-07-28,22.4,16.4,29.4,0.0,,,8.7,,1012.0,
2014-07-29,21.1,15.6,28.8,0.0,,,5.2,,1009.7,
2014-07-30,22.9,17.3,28.3,0.0,,,5.3,,1008.4,
2014-07-31,21.6,17.0,27.4,3.0,,,7.0,,1009.9,
2014-08-01,21.8,19.7,25.4,6.4,,,4.7,,1012.7,
2014-08-02,23.8,18.4,31.3,0.0,,66.0,10.7,,1012.2,
2014-08-03,21.7,15.7,30.5,6.1,,40.0,8.9,,1012.6,
2014-08-04,20.1,16.6,27.3,5.1,,,9.2,,1014.3,
2014-08-05,20.1,15.7,25.4,0.0,,,7.9,,1014.7,
2014-08-06,20.3,16.9,23.4,0.0,,,8.5,,1015.3,
2014-08-07,19.8,17.6,24.3,1.0,,,5.0,,1014.5,
2014-08-08,20.3,16.5,26.6,3.6,,,8.5,,1014.1,
2014-08-09,21.8,13.4,29.4,0.0,,,6.2,,1013.7,
2014-08-10,22.3,16.0,29.2,0.0,,,6.8,,1014.4,
2014-08-11,21.2,15.8,30.0,24.9,,,7.2,,1012.1,
2014-08-12,18.2,14.3,21.1,2.0,,,8.3,,1014.7,
2014-08-13,17.7,13.0,21.1,0.0,,,9.7,,1010.9,
2014-08-14,17.6,15.0,20.0,15.7,,241.0,15.9,,1009.7,
2014-08-15,16.5,10.1,23.0,0.0,,,7.4,,1012.6,
2014-08-16,15.3,13.1,18.5,0.0,,,15.8,,1013.5,
2014-08-17,15.2,9.6,20.5,1.0,,,13.1,,1015.1,
2014-08-18,17.5,9.9,24.4,0.0,,,8.6,,1011.3,
2014-08-19,15.4,13.4,19.7,0.0,,,6.8,,1013.3,
